Timestamp,Nama (Sebutan),Apa peran/jabatan Anda saat ini dan di industri apa Anda bekerja?,"Apakah Anda bekerja secara WFO (Kantor), Remote, atau Hybrid?","Dalam seminggu, berapa jam rata-rata yang Anda habiskan untuk rapat online (Zoom/GMeet)?","Siapa biasanya lawan bicara Anda dalam rapat? (Internal tim, Klien eksternal, atau Stakeholder level atas?)",Seberapa sering Anda harus memimpin rapat sekaligus menjadi pihak yang mencatat poin-poin penting?,Bagaimana cara Anda mendokumentasikan hasil rapat saat ini?,Seberapa sering Anda merasa kehilangan detail penting atau lupa action items setelah rapat selesai?,Berapa lama waktu yang biasanya Anda butuhkan untuk merapikan catatan mentah menjadi laporan yang layak baca/dikirim ke tim?,Apakah Anda pernah mengalami situasi di mana Anda tidak bisa fokus berdiskusi karena sibuk mencatat?,Seberapa krusial ketepatan bahasa/istilah teknis dalam catatan rapat Anda? (Skala 1-10),Sebutkan 3 tools produktivitas berbayar yang saat ini Anda gunakan secara pribadi atau dibayarkan kantor?,Bagaimana perasaan Anda terhadap model langganan bulanan (subscription) untuk software yang penggunaannya tidak setiap hari?,"Pernahkah Anda mencoba menggunakan tools notulensi AI (seperti Otter, Fireflies, dll)? Jika pernah, apa yang membuat Anda berhenti atau tetap menggunakannya?","Jika Anda harus membayar untuk sebuah tools produktivitas, mana skema yang lebih Anda sukai: Langganan tetap (Flat monthly fee) atau Bayar sesuai pemakaian (Pay-as-you-go)?",Berapa batas psikologis harga bulanan yang rela Anda keluarkan untuk sebuah tool pendukung kerja pribadi?,Seberapa nyaman Anda memasukkan data sensitif/rahasia pekerjaan ke dalam tools berbasis AI publik (seperti ChatGPT/Claude)?  ,Apakah Anda terikat perjanjian kerahasiaan (NDA) yang ketat dengan klien atau perusahaan Anda?  ,"Apakah Anda familiar dengan istilah ""API Key"" (misal: OpenAI API Key) dan cara mendapatkannya?  ",Mana yang lebih prioritas bagi Anda: Kemudahan akses Cloud atau Privasi Data Lokal?  ,"Jika ada satu hal yang bisa diubah untuk membuat proses rapat online Anda lebih menyenangkan, apakah itu?  "
16/12/2025 14:51:19,Dian Candra Pribadi,Lead Software Engineer,Full Remote (Dari mana saja),10 - 20 jam,Tim Internal (Rekan kerja),1,Tidak dicatat sama sekali (mengandalkan ingatan),Kadang-kadang,Lebih dari 30 menit,"Ya, sering mengganggu fokus saya",10,"Azure Devops, Bitbucket, GitBook",Sangat keberatan / Merasa rugi,Belum pernah,"Sekali Beli / Lifetime License (Bayar mahal di awal, gratis selamanya)",Rp 150.000 - Rp 300.000,1,"Ya, Standar","Tahu, tapi belum pernah pakai sendiri",Netral / Tidak masalah keduanya,"Memangkas waktu, langsung to the point pada pembahasan, masalah dan solusi jika ada. Rapat yang nggak penting lebih baik disingkirkan saja kalau hanya angan angan yang diluar nalar tanpa progress dan  solusi yang jelas."
16/12/2025 14:52:39,Fahrani Ruziady,Associate Product Executive,Full Remote (Dari mana saja),Kurang dari 5 jam,"Tim Internal (Rekan kerja), Klien Eksternal / Customer",5,"Ketik manual di Notepad/Docs/Notion, Menggunakan AI Notetaker (Otter, Fireflies, dll), Tidak dicatat sama sekali (mengandalkan ingatan)",Kadang-kadang,15 - 30 menit,"Ya, tapi tidak terlalu mengganggu",9,Manual si,"Tidak masalah, asal bermanfaat","Pernah coba, tapi berhenti (Kurang akurat/Mahal)","Pay-As-You-Go (Contoh: Beli pulsa/token, hanya bayar saat dipakai)",Di bawah Rp 50.000,4,"Ya, Standar","Tahu, tapi belum pernah pakai sendiri","Cloud (Bisa akses dari HP/Laptop mana saja, data di server vendor)",Catat Point penting secara otomatis tanpa ketinggalan detailnya
16/12/2025 14:58:24,Vandry,Sebagai Direktur PT basmi,Hybrid (Campuran),Kurang dari 5 jam,Klien Eksternal / Customer,1,Ketik manual di Notepad/Docs/Notion,Kadang-kadang,Lebih dari 30 menit,"Ya, tapi tidak terlalu mengganggu",7,Tidak ada,"Tidak masalah, asal bermanfaat",Belum pernah,"Pay-As-You-Go (Contoh: Beli pulsa/token, hanya bayar saat dipakai)",Rp 150.000 - Rp 300.000,1,"Ya, Standar","Pernah dengar, tapi tidak paham","Lokal/Offline (Data cuma ada di laptop saya, lebih aman & privat)", 
16/12/2025 15:28:29,Ahmad Taqiudin Ahyari,developer,Full Remote (Dari mana saja),Kurang dari 5 jam,"Tim Internal (Rekan kerja), Klien Eksternal / Customer, Vendor / Pihak Ketiga",1,Ketik manual di Notepad/Docs/Notion,Kadang-kadang,5 - 15 menit,"Ya, sering mengganggu fokus saya",1,tidak ada,"Agak keberatan, sering lupa cancel",Belum pernah,Langganan Tetap (Contoh: Rp 100rb/bulan all you can eat),Di bawah Rp 50.000,1,"Ya, Standar",Sangat paham & sering pakai,Netral / Tidak masalah keduanya,
16/12/2025 15:57:34,Fendi Andwar,Developer,Full WFO (Di Kantor),Kurang dari 5 jam,"Tim Internal (Rekan kerja), Vendor / Pihak Ketiga",3,"Ketik manual di Notepad/Docs/Notion, Merekam suara/video (untuk didengarkan ulang nanti), Menggunakan AI Notetaker (Otter, Fireflies, dll)",Kadang-kadang,Lebih dari 30 menit,Tidak pernah,7,1. Zoom 2. Google Cloud 3. AI,"Tidak masalah, asal bermanfaat",Belum pernah,Langganan Tetap (Contoh: Rp 100rb/bulan all you can eat),Rp 50.000 - Rp 150.000,3,Tidak ada,"Tahu, tapi belum pernah pakai sendiri","Cloud (Bisa akses dari HP/Laptop mana saja, data di server vendor)","Diskusi lebih terarah
Keputusan bisa diambil lebih cepat
Waktu kerja lainnya tetap produktif"
16/12/2025 16:28:10,GinRyu,Staff,Full WFO (Di Kantor),Kurang dari 5 jam,Klien Eksternal / Customer,3,"Tulis tangan di buku catatan, Ketik manual di Notepad/Docs/Notion, Merekam suara/video (untuk didengarkan ulang nanti)",Kadang-kadang,15 - 30 menit,"Ya, sering mengganggu fokus saya",5,,"Agak keberatan, sering lupa cancel","Pernah coba, tapi berhenti (Kurang akurat/Mahal)","Pay-As-You-Go (Contoh: Beli pulsa/token, hanya bayar saat dipakai)",Di bawah Rp 50.000,5,"Ya, Sangat Ketat","Pernah dengar, tapi tidak paham","Cloud (Bisa akses dari HP/Laptop mana saja, data di server vendor)",
16/12/2025 20:33:17,Brian,"Marketing Specialist, Pengadaan dan Implementasi IoT",Full WFO (Di Kantor),Kurang dari 5 jam,"Tim Internal (Rekan kerja), Klien Eksternal / Customer, Vendor / Pihak Ketiga",5,"Tulis tangan di buku catatan, Ketik manual di Notepad/Docs/Notion, Tidak dicatat sama sekali (mengandalkan ingatan)",Kadang-kadang,15 - 30 menit,"Ya, tapi tidak terlalu mengganggu",9,"Monday.com, Canva Pro, ChatGPT","Tidak masalah, asal bermanfaat",Belum pernah,"Sekali Beli / Lifetime License (Bayar mahal di awal, gratis selamanya)",Rp 50.000 - Rp 150.000,5,"Ya, Standar","Tahu, tapi belum pernah pakai sendiri",Netral / Tidak masalah keduanya,"Jaringan yang stabil, Subtitle yang sesuai untuk notulen, Rangkuman isi Meeting sesuai konteks"
17/12/2025 1:34:30,Aulia,Project controller,Full WFO (Di Kantor),10 - 20 jam,"Tim Internal (Rekan kerja), Klien Eksternal / Customer, Investor / Stakeholder Level Atas, Vendor / Pihak Ketiga",4,"Tulis tangan di buku catatan, Merekam suara/video (untuk didengarkan ulang nanti)",Kadang-kadang,Lebih dari 30 menit,"Ya, sering mengganggu fokus saya",7,Tidak ada,"Tidak masalah, asal bermanfaat",Belum pernah,"Pay-As-You-Go (Contoh: Beli pulsa/token, hanya bayar saat dipakai)",Rp 50.000 - Rp 150.000,2,"Ya, Standar","Tahu, tapi belum pernah pakai sendiri",Netral / Tidak masalah keduanya,Rangkuman otomatis poin penting dalam rapat dan terstruktur karena sering kali bias dengan topik tak terarah atau bercampur
18/12/2025 7:50:59,Iip,Operator,Full WFO (Di Kantor),Kurang dari 5 jam,Tim Internal (Rekan kerja),5,Tidak dicatat sama sekali (mengandalkan ingatan),Kadang-kadang,5 - 15 menit,"Ya, sering mengganggu fokus saya",7,,"Tidak masalah, asal bermanfaat",Belum pernah,"Pay-As-You-Go (Contoh: Beli pulsa/token, hanya bayar saat dipakai)",,3,"Ya, Standar",Tidak tahu sama sekali,Netral / Tidak masalah keduanya,
31/12/2025 11:37:20,Yoela Azzahra,"Kasir, Retail",Full WFO (Di Kantor),Kurang dari 5 jam,Klien Eksternal / Customer,2,Tulis tangan di buku catatan,Kadang-kadang,Lebih dari 30 menit,"Ya, sering mengganggu fokus saya",8,tidak ada,"Agak keberatan, sering lupa cancel",Belum pernah,"Pay-As-You-Go (Contoh: Beli pulsa/token, hanya bayar saat dipakai)",Di atas Rp 300.000,4,"Ya, Standar","Pernah dengar, tapi tidak paham","Lokal/Offline (Data cuma ada di laptop saya, lebih aman & privat)","Tools yang merubah suara menjadi teks. Sehingga peserta rapat mampu mendengarkan rapat secara fokus dan setelah rapat berakhir informasi dari rapat masih bisa di akses dan di tuliskan ke dalam buku atau catatan
"
